nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,competition,match,joueurA,joueurB,droitier_gaucher_joueurA,droitier_gaucher_joueurB,prise_joueurA,prise_joueurB
LEBRUN,327,419,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,m3,,-81.42626953125,214.5906982421875,h5,74.67181396484375,-122.20416259765625,g4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,420,433,garcon,revers,1,att/att,LIANG,,offensif,m3,,-48.29888916015625,214.54693603515625,g5,61.27130126953125,-246.33543395996094,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,434,447,garcon,revers,1,att/att,serveur_point_contre,,offensif,,out,-85.03521728515625,274.21038818359375,h7,60.974365234375,-274.2709197998047,g7,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,880,918,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,d2,,96.5447998046875,-125.63101196289062,h3,-71.6595458984375,191.07623291015625,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,919,941,garcon,coup_droit,1,att/att,LIANG,,defensif,m3,,20.30633544921875,-224.6665802001953,m5,-44.88055419921875,169.25030517578125,g4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,942,954,garcon,coup_droit,1,att/att,LEBRUN,,offensif,d2,,79.41656494140625,-229.7684783935547,h6,-7.95367431640625,225.995849609375,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,956,966,garcon,coup_droit,1,att/att,LIANG,,defensif,g2,,78.134521484375,-212.41171264648438,h5,3.0133056640625,277.435302734375,m7,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,967,983,garcon,revers,1,att/att,LEBRUN,,defensif,m3,,23.48870849609375,-235.2030029296875,m6,45.26336669921875,324.8096923828125,d8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,984,997,garcon,revers,1,att/att,LIANG,,offensif,g2,,16.76055908203125,-249.96556091308594,m6,19.18963623046875,358.84429931640625,m8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,998,1009,garcon,revers,1,att/att,LEBRUN,,defensif,m2,,45.47314453125,-279.4745788574219,g7,-10.4356689453125,347.6995849609375,m8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,1010,1026,garcon,revers,1,att/att,LIANG,,offensif,g2,,66.744140625,-300.5372009277344,g7,-66.73199462890625,327.057861328125,g8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,1028,1037,garcon,revers,1,att/att,serveur_point_pour,,offensif,g2,pt_gagne,97.39349365234375,-299.17469787597656,h7,-74.806884765625,303.47027587890625,g7,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,1459,1495,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,g2,,64.73699951171875,-206.33151245117188,g5,-131.78854370117188,171.39373779296875,i4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,1496,1509,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,81.1005859375,-210.45327758789062,h5,-40.74224853515625,217.86395263671875,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2317,2350,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,m1,,64.76763916015625,-203.46685791015625,g5,-110.40789794921875,174.92156982421875,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2351,2365,garcon,revers,1,att/att,LEBRUN,,poussette,g3,,20.787353515625,-174.6214599609375,m4,-11.6629638671875,207.0877685546875,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2366,2378,garcon,revers,1,att/att,LIANG,,offensif,g3,,36.591552734375,-218.67819213867188,g5,-0.98760986328125,219.76275634765625,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2379,2387,garcon,revers,1,att/att,LEBRUN,,offensif,g3,,89.49554443359375,-240.2506866455078,h6,-44.41851806640625,227.562255859375,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2388,2403,garcon,revers,1,att/att,serveur_point_contre,,offensif,,out,106.26806640625,-260.5674591064453,h6,-71.255859375,246.6551513671875,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2908,2957,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,m2,,-81.54364013671875,197.8714599609375,h5,137.8345947265625,-113.32730102539062,i3,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2958,2978,garcon,revers,1,att/att,LIANG,,poussette,d2,,-22.7235107421875,171.95166015625,m4,80.967529296875,-222.42828369140625,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2979,2992,garcon,coup_droit,1,att/att,LEBRUN,,defensif,g2,,-7.95367431640625,225.995849609375,m5,10.7725830078125,-177.54656982421875,m4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2994,3013,garcon,revers,1,att/att,LIANG,,defensif,g2,,-63.0428466796875,296.9281005859375,g7,17.22406005859375,-201.32830810546875,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3014,3021,garcon,revers,1,att/att,serveur_point_contre,,offensif,m3,pt_gagne,-92.879150390625,317.78125,h7,45.85308837890625,-242.40072631835938,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3300,3333,garcon,revers,1,att/att,LEBRUN,lat_gauche,,d2,,-71.68963623046875,186.9345703125,g5,17.23834228515625,-199.82989501953125,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3334,3351,garcon,coup_droit,1,att/att,LIANG,,poussette,g3,,20.6236572265625,155.3939208984375,m4,-11.8848876953125,-219.965576171875,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3352,3368,garcon,revers,1,att/att,LEBRUN,,poussette,m3,,-33.28802490234375,220.33587646484375,g5,42.63958740234375,-248.89634704589844,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3369,3382,garcon,revers,1,att/att,LIANG,,offensif,g2,,-14.784423828125,258.4197998046875,m6,63.33099365234375,-337.6676483154297,g8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3384,3408,garcon,revers,1,att/att,LEBRUN,,defensif,m3,,-55.32647705078125,293.18701171875,g7,118.24700927734375,-406.0587158203125,h8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3408,3424,garcon,coup_droit,1,att/att,LIANG,,offensif,m3,,-162.39984130859375,285.26995849609375,i7,-2705.12744140625,1758.968505859375,i8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3426,3443,garcon,revers,1,att/att,LEBRUN,,offensif,m2,,-109.7093505859375,285.47723388671875,h7,-2705.12744140625,1758.968505859375,i8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3443,3464,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,-122.2952880859375,314.751953125,h7,-2705.12744140625,1758.968505859375,i8,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3955,4006,garcon,coup_droit,1,att/att,LIANG,lat_droit,,m2,,43.13726806640625,-199.95770263671875,g5,-102.142578125,163.39935302734375,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,4008,4023,garcon,coup_droit,1,att/att,LEBRUN,,poussette,d2,,43.29351806640625,-184.59432983398438,g5,-33.36041259765625,211.50543212890625,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,4024,4040,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,,out,-8.68865966796875,-252.2594757080078,m6,-19.0198974609375,183.2037353515625,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5152,5179,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,g2,,58.61151123046875,-208.85928344726562,g5,-89.80157470703125,169.9283447265625,h4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5180,5193,garcon,revers,1,att/att,LEBRUN,,poussette,m3,,64.96710205078125,-184.83688354492188,g5,-40.74224853515625,217.86395263671875,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5194,5211,garcon,revers,1,att/att,LIANG,,offensif,g3,,64.39227294921875,-238.5306854248047,g6,17.88055419921875,220.280517578125,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5212,5227,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,45.636962890625,-263.4902801513672,g6,-47.6864013671875,292.7601318359375,g7,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5587,5588,garcon,revers,1,att/att,LEBRUN,lat_gauche,,d2,,-40.380126953125,-197.47412109375,d5,-8.56201171875,156.988525390625,m4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5589,5604,garcon,coup_droit,1,att/att,LIANG,,poussette,g2,,-33.15704345703125,-208.10604858398438,d5,20.6817626953125,161.4942626953125,m4,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5605,5619,garcon,revers,1,att/att,LEBRUN,,poussette,m2,,26.8819580078125,-221.9530029296875,g5,-29.61962890625,218.75885009765625,g5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5620,5640,garcon,coup_droit,1,att/att,LIANG,,poussette,g2,,49.22088623046875,-219.24417114257812,g5,9.12469482421875,192.02325439453125,m5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5641,5660,garcon,coup_droit,1,att/att,LEBRUN,,poussette,m2,,131.78997802734375,-174.321533203125,i4,-40.632080078125,231.605224609375,g6,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
