nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,competition,match,joueurA,joueurB,droitier_gaucher_joueurA,droitier_gaucher_joueurB,prise_joueurA,prise_joueurB
MCBEATH,59,81,garcon,coup_droit,1,att/att,MCBEATH,lat_gauche,,m2,,34.82891845703125,-211.75729370117188,g5,-1032.5504455566406,-2245.4320068359375,f8,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,82,94,garcon,revers,1,att/att,AKKUZU,,offensif,m3,,-48.5234375,-178.85128784179688,d4,-1032.5504455566406,-2245.4320068359375,f8,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,95,114,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,-66.6461181640625,-203.73019409179688,d5,-1032.5504455566406,-2245.4320068359375,f8,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,376,386,garcon,coup_droit,1,att/att,MCBEATH,lat_gauche,,m2,,60.36492919921875,-255.58792114257812,g6,-110.1552734375,119.71148681640625,h3,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,387,408,garcon,revers,1,att/att,AKKUZU,,poussette,m2,,52.628173828125,-204.80929565429688,g5,-78.8707275390625,206.0650634765625,h5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,409,420,garcon,revers,1,att/att,MCBEATH,,offensif,g2,,55.35955810546875,-322.1616516113281,g8,-30.02825927734375,203.43829345703125,g5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,421,443,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,115.10809326171875,-266.3414764404297,h6,-62.49761962890625,206.13702392578125,g5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,733,745,garcon,coup_droit,1,att/att,AKKUZU,lat_droit,,m2,,73.67620849609375,-210.07205200195312,g5,-81.0391845703125,164.306640625,h4,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,746,763,garcon,coup_droit,1,att/att,MCBEATH,,poussette,m3,,49.55218505859375,-217.35653686523438,g5,-48.0582275390625,176.87261962890625,g4,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,764,778,garcon,coup_droit,1,att/att,AKKUZU,,offensif,g3,,51.41021728515625,-169.02133178710938,g4,-30.561279296875,209.1004638671875,g5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,779,795,garcon,revers,1,att/att,MCBEATH,,defensif,d2,,78.83050537109375,-167.93936157226562,h4,-44.494384765625,255.6878662109375,g6,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,796,812,garcon,coup_droit,1,att/att,AKKUZU,,offensif,g3,,27.19793701171875,-250.5328826904297,g6,-20.6329345703125,319.46502685546875,m7,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,813,836,garcon,revers,1,att/att,MCBEATH,,defensif,g3,,21.5927734375,-295.16119384765625,m7,-15.56768798828125,295.16827392578125,m7,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,837,853,garcon,coup_droit,1,att/att,AKKUZU,,offensif,g2,,156.05291748046875,-295.29449462890625,i7,-72.37017822265625,304.4371337890625,g7,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,854,866,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,192.51446533203125,-307.5852966308594,i7,-123.55950927734375,242.80316162109375,h6,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,1254,1270,garcon,coup_droit,1,att/att,AKKUZU,lat_droit,,m2,,-47.100341796875,191.78582763671875,g5,63.0074462890625,-204.36502075195312,g5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,1271,1289,garcon,revers,1,att/att,MCBEATH,,offensif,g3,,-23.2415771484375,214.71820068359375,m5,48.763427734375,-249.52015686035156,g6,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,1290,1307,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,-84.4302978515625,234.935791015625,h6,69.9490966796875,-255.13192749023438,g6,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,1616,1642,garcon,coup_droit,1,att/att,serveur_point_pour,lat_gauche,,,filet,-80.47076416015625,206.05804443359375,h5,115.37017822265625,-239.87918090820312,h6,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,2298,2316,garcon,coup_droit,1,att/att,MCBEATH,lat_gauche,,d2,,-78.512939453125,217.29913330078125,h5,106.29083251953125,-221.12799072265625,h5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,2317,2335,garcon,coup_droit,1,att/att,AKKUZU,,poussette,d2,,-75.87615966796875,191.6209716796875,g5,107.93011474609375,-227.38162231445312,h5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,2336,2352,garcon,coup_droit,1,att/att,MCBEATH,,offensif,m3,,-82.61480712890625,161.15728759765625,h4,57.24365234375,-204.61172485351562,g5,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,2353,2369,garcon,coup_droit,1,att/att,AKKUZU,,offensif,m2,,-58.4302978515625,191.72088623046875,g5,24.79638671875,-250.64566040039062,m6,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,2370,2382,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,-24.1341552734375,211.9300537109375,m5,7.2681884765625,-310.1694793701172,m7,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,2839,2882,garcon,coup_droit,1,att/att,AKKUZU,lat_droit,,m2,,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,2883,2898,garcon,revers,1,att/att,MCBEATH,,poussette,m3,,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,2899,2921,garcon,coup_droit,1,att/att,AKKUZU,,offensif,m3,,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,2922,2951,garcon,revers,1,att/att,serveur_point_pour,,defensif,,out,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,3212,3263,garcon,coup_droit,1,att/att,AKKUZU,lat_droit,,m2,,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
MCBEATH,3264,3276,garcon,coup_droit,1,att/att,MCBEATH,,offensif,d3,,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
AKKUZU,3277,3303,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,0,0,0,0,0,0,2023_France_Q_ChE,akkuzu_mcbeath_set1,AKKUZU,MCBEATH,droitier,droitier,europeenne,europeenne
JARVIS,143,157,garcon,coup_droit,1,att/att,JARVIS,lat_gauche,,d2,,57.4619140625,-151.61965942382812,g4,-94.95977783203125,109.4658203125,h3,2023_France_Q_ChE,gauzy_jarvis_set1,GAUZY,JARVIS,droitier,droitier,europeenne,europeenne
