nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB
ALEXIS-LEBRUN,63,112,garcon,coup_droit,1,att/att,serveur_point_contre,lat_droit,,g2,pt_gagne,,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-71.50042724609375,222.280517578125,g5,119.74786376953125,-119.30368041992188,h3
ALEXIS-LEBRUN,395,430,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.510773849487304,58.7541810353597,2,ALEXIS-LEBRUN,FAN-ZHENDONG,104.35992431640625,-130.687744140625,h3,-79.46612548828125,200.82763671875,h5
FAN-ZHENDONG,431,442,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g3,,poussette,43.98161087036133,-111.61393259366353,2,FAN-ZHENDONG,ALEXIS-LEBRUN,49.64654541015625,-215.91891479492188,g5,-6.73089599609375,170.34039306640625,m4
ALEXIS-LEBRUN,443,454,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,52.393914794921876,108.46078961690267,2,ALEXIS-LEBRUN,FAN-ZHENDONG,67.1619873046875,-208.63681030273438,g5,-3.294677734375,181.86126708984375,m4
FAN-ZHENDONG,455,472,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN,122.0,-174.51718139648438,h4,-41.39678955078125,231.36041259765625,g6
FAN-ZHENDONG,796,832,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,69.92502136230469,-114.39086351394653,2,FAN-ZHENDONG,ALEXIS-LEBRUN,49.6685791015625,-211.86245727539062,g5,-110.31817626953125,147.79010009765625,h4
ALEXIS-LEBRUN,833,841,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-26.652779388427735,102.81534411112467,2,ALEXIS-LEBRUN,FAN-ZHENDONG,101.3731689453125,-209.20376586914062,h5,-2596.93896484375,1777.310546875,i8
FAN-ZHENDONG,842,850,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,bloc,30.450967407226564,-102.5556901137034,2,FAN-ZHENDONG,ALEXIS-LEBRUN,103.922119140625,-223.68661499023438,h5,-2596.93896484375,1777.310546875,i8
ALEXIS-LEBRUN,851,867,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,103.75799560546875,-258.5416259765625,h6,-2596.93896484375,1777.310546875,i8
FAN-ZHENDONG,1089,1111,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,44.45914764404297,-53.16686757405599,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-93.8646240234375,144.003173828125,h4,61.43658447265625,-204.80807495117188,g5
ALEXIS-LEBRUN,1112,1123,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,3.27977294921875,51.63512217203776,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-48.9080810546875,205.41595458984375,g5,52.737548828125,-192.232421875,g5
FAN-ZHENDONG,1124,1140,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-10.106818008422852,-51.64416338602702,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-37.88983154296875,213.52899169921875,g5,61.51397705078125,-190.144287109375,g5
ALEXIS-LEBRUN,1141,1159,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,-16.671875,218.373046875,m5,82.658935546875,-190.30471801757812,h5
ALEXIS-LEBRUN,1398,1416,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,45.344604873657225,55.20575714111328,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-38.046875,189.87969970703125,g5,104.3004150390625,-143.32705688476562,h4
FAN-ZHENDONG,1417,1426,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,d3,,flip,-36.49056892395019,-92.19078534444174,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-13.492431640625,177.290771484375,m4,58.5303955078125,-205.5499267578125,g5
ALEXIS-LEBRUN,1427,1438,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,-24.113005065917967,95.25554784138997,2,ALEXIS-LEBRUN,FAN-ZHENDONG,39.84149169921875,187.32763671875,d5,76.98797607421875,-217.17800903320312,h5
FAN-ZHENDONG,1439,1452,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,70.22741928100587,-74.84259017308553,2,FAN-ZHENDONG,ALEXIS-LEBRUN,40.1373291015625,240.19354248046875,d6,-16.281494140625,-264.6442413330078,m6
ALEXIS-LEBRUN,1453,1473,garcon,revers,1,att/att,serveur_point_contre,,defensif,g1,pt_gagne,coupe,-76,32.03643557230632,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-9.24658203125,309.89691162109375,m7,34.17584228515625,-276.39794921875,g7
ALEXIS-LEBRUN,1746,1783,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,5.825048446655273,62.84734242757161,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-75.5491943359375,200.07232666015625,g5,129.66168212890625,-116.44076538085938,i3
FAN-ZHENDONG,1784,1798,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,flip,-75.86837891712784,-124.56710806687673,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-6.6641845703125,181.06390380859375,m4,64.274169921875,-213.37380981445312,g5
FAN-ZHENDONG,2373,2391,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,52.71953506469727,-123.78399456342062,2,FAN-ZHENDONG,ALEXIS-LEBRUN,55.59698486328125,-207.63949584960938,g5,-97.88397216796875,150.8397216796875,h4
ALEXIS-LEBRUN,2392,2411,garcon,revers,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG,79.75634765625,-219.02273559570312,h5,-67.5772705078125,231.35162353515625,g6
FAN-ZHENDONG,2720,2758,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,48.84285202026367,-59.574309730529784,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-365.3568115234375,-250.6351318359375,f6,-63.55340576171875,259.309814453125,g6
ALEXIS-LEBRUN,2759,2780,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,g3,,poussette,-26.49754695892334,118.92203165690104,2,ALEXIS-LEBRUN,FAN-ZHENDONG,-300.3260803222656,-268.63050842285156,f6,95.821533203125,286.34136962890625,e7
FAN-ZHENDONG,2781,2791,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-0.34230499267578124,-76.66341489156088,2,FAN-ZHENDONG,ALEXIS-LEBRUN,-406.8517761230469,-334.69677734375,f8,61.32720947265625,320.5465087890625,d8
