nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,joueurA,joueurB,num_point
FAN-ZHENDONG,6645,6720,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m1,,-72.2215,279.66595,g7,99.862976,-46.013794,h3,FAN-ZHENDONG,TRULS-MOREGARD,0
TRULS-MOREGARD,6721,6733,garcon,coup_droit,1,att/att,TRULS-MOREGARD,,defensif,d3,,-86.2392,235.96082,h6,59.769592,-137.0,g4,FAN-ZHENDONG,TRULS-MOREGARD,0
FAN-ZHENDONG,6734,6746,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,-59.83362,251.04865,g6,42.66815,-148.7532,g4,FAN-ZHENDONG,TRULS-MOREGARD,0
TRULS-MOREGARD,6747,6755,garcon,revers,1,att/att,TRULS-MOREGARD,,offensif,g3,,-51.432556,303.62683,g7,42.66815,-148.7532,g4,FAN-ZHENDONG,TRULS-MOREGARD,0
FAN-ZHENDONG,6756,6767,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,-85.756714,292.52667,h7,58.11084,-144.81738,g4,FAN-ZHENDONG,TRULS-MOREGARD,0
FAN-ZHENDONG,7177,7217,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,89.678406,-31.19757,h3,-89.43707,277.12396,h7,FAN-ZHENDONG,TRULS-MOREGARD,1
TRULS-MOREGARD,7218,7237,garcon,revers,1,att/att,TRULS-MOREGARD,,defensif,m3,,69.64313,-98.439575,g4,-50.22699,260.19623,g6,FAN-ZHENDONG,TRULS-MOREGARD,1
FAN-ZHENDONG,7238,7254,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g2,,80.116394,-125.356476,h3,-58.3468,303.8717,g7,FAN-ZHENDONG,TRULS-MOREGARD,1
TRULS-MOREGARD,7255,7273,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,66.50391,-125.3436,g4,-49.794617,366.56714,g8,FAN-ZHENDONG,TRULS-MOREGARD,1
TRULS-MOREGARD,7670,7675,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,m2,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,2
FAN-ZHENDONG,7676,7695,garcon,revers,1,att/att,FAN-ZHENDONG,,defensif,g2,,-400,-400,f8,-76.415405,270.44574,h6,FAN-ZHENDONG,TRULS-MOREGARD,2
TRULS-MOREGARD,7696,7705,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,m3,pt_gagne,-400,-400,f8,-120.67236,227.34418,h5,FAN-ZHENDONG,TRULS-MOREGARD,2
TRULS-MOREGARD,8012,8039,garcon,coup_droit,1,att/att,TRULS-MOREGARD,lat_droit,,g3,,-400,-400,f8,-400,-400,f8,FAN-ZHENDONG,TRULS-MOREGARD,3
FAN-ZHENDONG,8040,8057,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,-73.77405,279.7179,g7,62.00299,-94.60156,g4,FAN-ZHENDONG,TRULS-MOREGARD,3
