nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,distance_x_jA,distance_y_jA,zone_joueur_jA,distance_x_jB,distance_y_jB,zone_joueur_jB,competition,match,joueurA,joueurB,droitier_gaucher_joueurA,droitier_gaucher_joueurB,prise_joueurA,prise_joueurB
LEBRUN,327,419,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,m3,,-478.6681213378906,1.33709716796875,i3,-81.42626953125,214.5906982421875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,420,433,garcon,revers,1,att/att,LIANG,,offensif,m3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,434,447,garcon,revers,1,att/att,serveur_point_contre,,offensif,,out,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,880,918,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,d2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,919,941,garcon,coup_droit,1,att/att,LIANG,,defensif,m3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,942,954,garcon,coup_droit,1,att/att,LEBRUN,,offensif,d2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,956,966,garcon,coup_droit,1,att/att,LIANG,,defensif,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,967,983,garcon,revers,1,att/att,LEBRUN,,defensif,m3,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,984,997,garcon,revers,1,att/att,LIANG,,offensif,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,998,1009,garcon,revers,1,att/att,LEBRUN,,defensif,m2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,1010,1026,garcon,revers,1,att/att,LIANG,,offensif,g2,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,1028,1037,garcon,revers,1,att/att,serveur_point_pour,,offensif,g2,pt_gagne,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,1459,1495,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,1496,1509,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2317,2350,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,m1,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2351,2365,garcon,revers,1,att/att,LEBRUN,,poussette,g3,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2366,2378,garcon,revers,1,att/att,LIANG,,offensif,g3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2379,2387,garcon,revers,1,att/att,LEBRUN,,offensif,g3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2388,2403,garcon,revers,1,att/att,serveur_point_contre,,offensif,,out,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2908,2957,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,m2,,-478.6681213378906,1.33709716796875,i3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2958,2978,garcon,revers,1,att/att,LIANG,,poussette,d2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,2979,2992,garcon,coup_droit,1,att/att,LEBRUN,,defensif,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,2994,3013,garcon,revers,1,att/att,LIANG,,defensif,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3014,3021,garcon,revers,1,att/att,serveur_point_contre,,offensif,m3,pt_gagne,-478.65618896484375,-3.072601318359375,f3,-85.4541015625,213.70751953125,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3300,3333,garcon,revers,1,att/att,LEBRUN,lat_gauche,,d2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3334,3351,garcon,coup_droit,1,att/att,LIANG,,poussette,g3,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3352,3368,garcon,revers,1,att/att,LEBRUN,,poussette,m3,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3369,3382,garcon,revers,1,att/att,LIANG,,offensif,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3384,3408,garcon,revers,1,att/att,LEBRUN,,defensif,m3,,-478.65618896484375,-3.072601318359375,f3,-81.44970703125,211.2457275390625,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3408,3424,garcon,coup_droit,1,att/att,LIANG,,offensif,m3,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,3426,3443,garcon,revers,1,att/att,LEBRUN,,offensif,m2,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3443,3464,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,3955,4006,garcon,coup_droit,1,att/att,LIANG,lat_droit,,m2,,-478.6681213378906,1.33709716796875,i3,-81.44970703125,211.2457275390625,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,4008,4023,garcon,coup_droit,1,att/att,LEBRUN,,poussette,d2,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,4024,4040,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,,out,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5152,5179,garcon,coup_droit,1,att/att,LIANG,lat_gauche,,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5180,5193,garcon,revers,1,att/att,LEBRUN,,poussette,m3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5194,5211,garcon,revers,1,att/att,LIANG,,offensif,g3,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5212,5227,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5587,5588,garcon,revers,1,att/att,LEBRUN,lat_gauche,,d2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5589,5604,garcon,coup_droit,1,att/att,LIANG,,poussette,g2,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5605,5619,garcon,revers,1,att/att,LEBRUN,,poussette,m2,,-478.6531982421875,-4.17486572265625,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5620,5640,garcon,coup_droit,1,att/att,LIANG,,poussette,g2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5641,5660,garcon,coup_droit,1,att/att,LEBRUN,,poussette,m2,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,5661,5679,garcon,coup_droit,1,att/att,LIANG,,poussette,g3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,5680,5691,garcon,revers,1,att/att,serveur_point_pour,,offensif,d3,pt_gagne,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LEBRUN,6013,6057,garcon,coup_droit,1,att/att,LEBRUN,lat_droit,,d2,,-478.6621551513672,-0.86785888671875,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
LIANG,6058,6080,garcon,coup_droit,1,att/att,LIANG,,poussette,g3,,-478.65618896484375,-3.072601318359375,f3,-85.4656982421875,212.02947998046875,h5,2022_macao_china,Lebrun_Liang_set1,LEBRUN,LIANG,droitier,droitier,europeenne,europeenne
