nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
DARKO-JORGIC,37,87,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,13.004001998901368,-80.26213598251343,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,88,112,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,308,335,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,18.016130447387695,-88.00837462743124,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,336,350,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,22.149904632568358,87.25736592610677,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,351,361,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,topspin,-63.40912880897522,-131.63723723888398,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,607,616,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,53.065087127685544,58.24883117675781,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,617,640,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,790,819,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,-34.43202781677246,63.68615455627442,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,820,832,garcon,revers,1,att/att,DARKO-JORGIC,,defensif,m2,,poussette,-2.4740718841552733,-61.440353584289554,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,833,850,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m3,,poussette,7.036357879638672,105.77894605000814,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,851,864,garcon,revers,1,att/att,DARKO-JORGIC,,offensif,m2,,topspin,15.724590301513672,-62.046088790893556,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,865,884,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,1171,1196,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,-18.730964279174806,-57.235849380493164,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1197,1214,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,topspin,9.434551239013672,85.69581413269043,2,ALEXIS-LEBRUN,DARKO-JORGIC
DARKO-JORGIC,1215,1238,garcon,revers,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,DARKO-JORGIC,ALEXIS-LEBRUN
DARKO-JORGIC,1475,1484,garcon,coup_droit,1,att/att,DARKO-JORGIC,lat_droit,,m2,,,8.053350448608398,-59.19326349894206,2,DARKO-JORGIC,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1485,1495,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,2.0542938232421877,131.41338335673015,2,ALEXIS-LEBRUN,DARKO-JORGIC
