nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
ALEXIS-LEBRUN,63,112,garcon,coup_droit,1,att/att,serveur_point_contre,lat_droit,,g2,pt_gagne,,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,395,430,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.510773849487304,58.7541810353597,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,431,442,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,g3,,poussette,43.98161087036133,-111.61393259366353,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,443,454,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,d3,,topspin,52.393914794921876,108.46078961690267,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,455,472,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,796,832,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,69.92502136230469,-114.39086351394653,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,833,841,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-26.652779388427735,102.81534411112467,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,842,850,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,bloc,30.450967407226564,-102.5556901137034,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,851,867,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1089,1111,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,44.45914764404297,-53.16686757405599,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1112,1123,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,3.27977294921875,51.63512217203776,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1124,1140,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-10.106818008422852,-51.64416338602702,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1141,1159,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,1398,1416,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,45.344604873657225,55.20575714111328,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1417,1426,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,intermediaire,d3,,flip,-36.49056892395019,-92.19078534444174,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1427,1438,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,-24.113005065917967,95.25554784138997,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1439,1452,garcon,revers,1,att/att,FAN-ZHENDONG,,intermediaire,g2,,bloc,70.22741928100587,-74.84259017308553,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1453,1473,garcon,revers,1,att/att,serveur_point_contre,,defensif,g1,pt_gagne,coupe,-76,32.03643557230632,2,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,1746,1783,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,5.825048446655273,62.84734242757161,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,1784,1798,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,flip,-75.86837891712784,-124.56710806687673,2,FAN-ZHENDONG,ALEXIS-LEBRUN
FAN-ZHENDONG,2373,2391,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g3,,,52.71953506469727,-123.78399456342062,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2392,2411,garcon,revers,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,2720,2758,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,g2,,,48.84285202026367,-59.574309730529784,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2759,2780,garcon,revers,1,att/att,ALEXIS-LEBRUN,,defensif,g3,,poussette,-26.49754695892334,118.92203165690104,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,2781,2791,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,m2,,topspin,-0.34230499267578124,-76.66341489156088,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2792,2804,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m3,,topspin,3.778517150878906,106.91836547851562,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,2805,2813,garcon,revers,1,att/att,FAN-ZHENDONG,,offensif,g3,,bloc,72.17979278564454,-93.01998138427734,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2814,2839,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
ALEXIS-LEBRUN,3092,3127,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m1,,,22.41202583312988,45.24225222269694,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3128,3160,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3427,3446,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,29.417217636108397,47.73684336344401,2,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3447,3462,garcon,coup_droit,1,att/att,FAN-ZHENDONG,,defensif,m2,,poussette,-20.30394878387451,-49.45304520924886,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3463,3488,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
FAN-ZHENDONG,3899,3929,garcon,coup_droit,1,att/att,FAN-ZHENDONG,lat_droit,,m2,,,7.1313926696777346,-63.16030082702637,2,FAN-ZHENDONG,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3930,3944,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,m3,,flip,,,,ALEXIS-LEBRUN,FAN-ZHENDONG
