nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
ALEXIS-LEBRUN,36,71,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,44.42837295532227,59.201573053995766,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,72,82,garcon,coup_droit,1,att/att,JANG-WOOJIN,,intermediaire,m2,,flip,22.993374633789063,-78.24137239456176,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,83,92,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,-44.57610740661621,88.43561553955078,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,93,105,garcon,coup_droit,1,att/att,JANG-WOOJIN,,intermediaire,g3,,topspin,35.01652946472168,-135.44318180580933,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,106,123,garcon,revers,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,JANG-WOOJIN
ALEXIS-LEBRUN,315,342,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g2,,,-33.59115982055664,76.8259651184082,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,343,353,garcon,coup_droit,1,att/att,JANG-WOOJIN,,offensif,g2,,topspin,32.63513679504395,-80.41715621948242,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,354,363,garcon,revers,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,bloc,46.753318786621094,128.95899861653646,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,782,813,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,d2,,,-50.15488224029541,-66.34736359914145,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,814,828,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,m2,,poussette,-4.518624496459961,80.32557690938314,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,829,838,garcon,coup_droit,1,att/att,JANG-WOOJIN,,offensif,m3,,topspin,15.637636947631837,-91.7341996828715,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,839,850,garcon,revers,1,att/att,serveur_point_contre,,intermediaire,d2,pt_gagne,bloc,58.213853454589845,60.99126307169596,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,1173,1214,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,d2,,,-39.05516376495361,-59.674381510416666,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1215,1229,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,d2,,poussette,32.63513679504395,60.03503710428874,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,1230,1245,garcon,coup_droit,1,att/att,JANG-WOOJIN,,defensif,d2,,poussette,-30.880236625671387,-50.22997989654541,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1246,1277,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,ALEXIS-LEBRUN,JANG-WOOJIN
ALEXIS-LEBRUN,1505,1536,garcon,revers,1,att/att,ALEXIS-LEBRUN,lat_gauche,,d2,,,42.092308807373044,66.39229965209961,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,1537,1552,garcon,coup_droit,1,att/att,JANG-WOOJIN,,defensif,m2,,poussette,-1.9549827575683594,-69.67470455169678,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1553,1568,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,defensif,g2,,poussette,-70.14939038753509,87.66120681762695,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,1569,1579,garcon,coup_droit,1,att/att,JANG-WOOJIN,,offensif,d2,,topspin,-25.50000057220459,-87.57784996032714,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,1580,1591,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,intermediaire,m2,,bloc,-17.532099533081055,81.46952565511067,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,1592,1611,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2029,2064,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_gauche,,g2,,,-47.3582088470459,67.22201830546061,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,2065,2085,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,JANG-WOOJIN,ALEXIS-LEBRUN
JANG-WOOJIN,2562,2602,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,m3,,,-22.83047752380371,-132.33011280695598,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2603,2613,garcon,revers,1,att/att,serveur_point_contre,,intermediaire,g2,pt_gagne,topspin,-39.05516376495361,72.70993067423503,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,2946,2980,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,d2,,,-50.15488224029541,-64.80976492563883,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,2981,3010,garcon,revers,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,ALEXIS-LEBRUN,JANG-WOOJIN
ALEXIS-LEBRUN,3292,3326,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,46.753318786621094,52.045077641805015,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,3327,3342,garcon,coup_droit,1,att/att,JANG-WOOJIN,,defensif,m2,,poussette,-1.9549827575683594,-74.07984879811605,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3343,3353,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,m2,,topspin,-1.9549827575683594,84.50535278320312,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,3354,3367,garcon,coup_droit,1,att/att,JANG-WOOJIN,,intermediaire,d2,,bloc,-25.50000057220459,-60.53837490081787,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3368,3378,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,-44.57610740661621,85.37644500732422,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,3379,3428,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,3693,3701,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m2,,,-1.9549827575683594,49.264198811848956,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,3702,3727,garcon,revers,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,JANG-WOOJIN,ALEXIS-LEBRUN
JANG-WOOJIN,3985,4028,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,d2,,,-47.3582088470459,-73.8675370534261,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4029,4043,garcon,revers,1,att/att,ALEXIS-LEBRUN,,intermediaire,g2,,flip,-33.59115982055664,79.85358721415201,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,4044,4080,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,filet,topspin,,,,JANG-WOOJIN,ALEXIS-LEBRUN
JANG-WOOJIN,4435,4484,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,d2,,,-41.80846195220947,-56.752780278523765,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4485,4508,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,flip,,,,ALEXIS-LEBRUN,JANG-WOOJIN
ALEXIS-LEBRUN,4613,4640,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,g3,,,-47.3582088470459,93.29290758768717,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,4641,4664,garcon,revers,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4750,4791,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,d2,,,30.24221267700195,57.35986557006836,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,4792,4803,garcon,coup_droit,1,att/att,JANG-WOOJIN,,defensif,m2,,poussette,8.172622299194336,-53.08932043711344,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,4804,4830,garcon,revers,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,5040,5057,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,d2,,,-58.63348474502563,-57.49660739898682,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5058,5084,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,out,flip,,,,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,5479,5519,garcon,coup_droit,1,att/att,JANG-WOOJIN,lat_droit,,m3,,,-7.095153045654297,-111.2971264521281,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5520,5531,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,,offensif,g2,,topspin,-39.05516376495361,72.70993067423503,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,5532,5542,garcon,revers,1,att/att,JANG-WOOJIN,,intermediaire,m2,,bloc,10.673250579833985,-64.58433122634888,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5543,5553,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-47.3582088470459,131.6324629465739,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,5554,5562,garcon,revers,1,att/att,JANG-WOOJIN,,intermediaire,g3,,bloc,25.42142219543457,-106.65612018903097,2,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5563,5570,garcon,revers,1,att/att,ALEXIS-LEBRUN,,offensif,g3,,topspin,-47.3582088470459,120.89738883972169,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,5571,5593,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,JANG-WOOJIN,ALEXIS-LEBRUN
ALEXIS-LEBRUN,5845,5852,garcon,coup_droit,1,att/att,ALEXIS-LEBRUN,lat_droit,,m1,,,0.5958663940429687,43.25801060994466,2,ALEXIS-LEBRUN,JANG-WOOJIN
JANG-WOOJIN,5853,5877,garcon,revers,1,att/att,serveur_point_pour,,defensif,,filet,poussette,,,,JANG-WOOJIN,ALEXIS-LEBRUN
