nom,debut,fin,genre,lateralite,set,systeme,coup,type_service,type_coup,zone_jeu,faute,effet_coup,coor_balle_x,coor_balle_y,coor_balle_z,joueur_frappe,joueur_sur
DAN-QIU,84,131,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,m2,,,-13.80306396484375,65.59757868448894,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,132,142,garcon,revers,1,att/att,FELIX-LEBRUN,,offensif,m2,,topspin,-5.782611846923828,-73.0215433438619,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,143,165,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,filet,bloc,,,,DAN-QIU,FELIX-LEBRUN
DAN-QIU,435,457,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,d2,,,35.28571739196777,53.87375462849935,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,458,467,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,defensif,d2,,poussette,-30.16408004760742,-61.66519063313802,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,468,484,garcon,coup_droit,1,att/att,DAN-QIU,,intermediaire,d2,,topspin,37.761006927490236,74.96225560506186,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,485,505,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FELIX-LEBRUN,DAN-QIU
FELIX-LEBRUN,717,742,garcon,coup_droit,1,att/att,FELIX-LEBRUN,lat_droit,,m2,,,-16.49999866485596,-46.73185755411784,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,743,758,garcon,coup_droit,1,att/att,DAN-QIU,,defensif,m1,,poussette,17.663113021850585,31.574532318115235,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,759,778,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,defensif,m3,,poussette,-3.1323211669921873,-112.0368771870931,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,779,791,garcon,coup_droit,1,att/att,DAN-QIU,,offensif,m3,,topspin,-0.4935039520263672,124.30282567342122,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,792,803,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,intermediaire,m2,,bloc,22.75159111022949,-66.71511367162068,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,804,813,garcon,coup_droit,1,att/att,serveur_point_contre,,offensif,d3,pt_gagne,topspin,,,,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,1056,1058,garcon,coup_droit,1,att/att,FELIX-LEBRUN,lat_droit,,g3,,,35.28571739196777,-94.84816624323527,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,1059,1068,garcon,revers,1,att/att,DAN-QIU,,offensif,m2,,topspin,-13.80306396484375,86.14620246887208,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,1069,1078,garcon,revers,1,att/att,FELIX-LEBRUN,,offensif,m3,,topspin,-11.117903518676759,-109.61631642977396,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,1079,1108,garcon,revers,1,att/att,serveur_point_pour,,intermediaire,,out,bloc,,,,DAN-QIU,FELIX-LEBRUN
DAN-QIU,1543,1587,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,m2,,,12.531045913696289,75.02063153584798,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,1588,1599,garcon,revers,1,att/att,FELIX-LEBRUN,,offensif,g2,,topspin,45.125,-60.94942785898844,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,1600,1626,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,DAN-QIU,FELIX-LEBRUN
DAN-QIU,1908,1931,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,m2,,,20.212766265869142,79.15260569254558,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,1932,1943,garcon,coup_droit,1,att/att,FELIX-LEBRUN,,defensif,g3,,poussette,35.28571739196777,-97.883309618632,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,1944,1974,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,2370,2377,garcon,coup_droit,1,att/att,FELIX-LEBRUN,lat_droit,,d2,,,-49.810810565948486,-57.75655536651611,2,FELIX-LEBRUN,DAN-QIU
DAN-QIU,2378,2390,garcon,coup_droit,1,att/att,DAN-QIU,,defensif,m1,,poussette,12.531045913696289,42.53746592203776,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,2391,2419,garcon,coup_droit,1,att/att,serveur_point_pour,,defensif,,out,poussette,,,,FELIX-LEBRUN,DAN-QIU
FELIX-LEBRUN,2709,2747,garcon,coup_droit,1,att/att,serveur_point_pour,lat_droit,,,filet,,,,,FELIX-LEBRUN,DAN-QIU
DAN-QIU,2941,2977,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,m3,,,-16.49999866485596,110.09709256490072,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,2978,2997,garcon,coup_droit,1,att/att,serveur_point_pour,,offensif,,out,topspin,,,,FELIX-LEBRUN,DAN-QIU
DAN-QIU,3256,3271,garcon,coup_droit,1,att/att,DAN-QIU,lat_droit,,m3,,,-16.49999866485596,111.68122126261393,2,DAN-QIU,FELIX-LEBRUN
FELIX-LEBRUN,3272,3298,garcon,coup_droit,1,att/att,serveur_point_pour,,intermediaire,,filet,topspin,,,,FELIX-LEBRUN,DAN-QIU
